Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
GB Plas Sdn Bhd,638291 V,2004.0,Gooi Chin Hooi,Managing Director,Gooi Chin Hooi,Managing Director,"3785, Jalan Changkat, Nibong Tebal, S.P.S",14300.0,,Pulau Pinang,Malaysia,604-594 2333,604-593 8718,gasingplastics@hotmail.com,www.gbplas.com,"Profile Extrusion, Extrusion Pelletising, Thermoforming , Vacuum Forming","PC Extruded Sheet, PMMA Extruder Sheets, GPPS Extruded Sheets, HIPS Extruded Sheets, ABS Extruded Sheets, AS Extruded Sheets, HDPE and PP Extruded Sheets, Specialise in Design and Produce Thermoforming/Vacuum Forming Mould for Custom Make Product for Advertising Industrial or Automotive Design, Specialise in Thermoforming Process, Vacuum Forming Product, Press/Blow Thermoforming Product, Agricultural, Bathroom/Toilet, Electrical and Electronics, Footwear, Furniture, Industrial and Construction, OEM Manufacturing, Packaging","Thailand, China, Singapore, Hong Kong, Australia, India"
Gasing Potensi Plastic Industries Sdn Bhd,1121034-V,2014.0,Allan Kow Kek Choy,Chief Executive Officer,Loh Kah Hock,General Manager,"575A, Jalan Sultan Azlan Shah Utara, Taman Tasek Baru",31400.0,Ipoh,Perak,Malaysia,605-5484 139,605-5486 139,sales@gbplas.com,,Film Extrusion,,
Ganda Maju Industries (M) Sdn Bhd,499147-U,1999.0,Yeong Toh Wai,Managing Director,Yeong Toh Wai,Managing Director,"4, Lengkok Rishah 2, Kawasan Perindustrian Silibin",30100.0,Ipoh,Perak,Malaysia,605-528 6255,605-527 6255,gcplastic@outlook.com,www.gandamaju.com.my,Injection Moulding,"Automotive Component, Electrical & Electronic, Agricultural Plastic Parts",
Gaia Pebbles Sdn Bhd,1367106-T,2020.0,Norsharina Binti Mohd Shahar,Director,Norsharina Binti Mohd Shahar,Director,"6A-B, Jalan Waja 14, Kawasan Perindustrian Bebas, Telok Panglima Garang",42500.0,,Selangor,Malaysia,603-3123 1949,,info@gscorp.com.my,,,Machinery and Auxiliary Equipment Sales & Service i4.0 Solution Providers,
G-FRP Industries Sdn Bhd,525635-V,2000.0,Lenny Lan Say Kiet,General Manager,Lee Chee Khuen,Admin Manager,"20 Jalan Kundang Jaya 1, Perindustrian Kundang Jaya, Kundang",48020.0,,Selangor,Malaysia,603-6034 1525/6016-229 0589,603-6034 2535,enquiries@gentari.com,www.g-frp.com.my,Hot Press SMC & Open Moulded,"Water Tanks (SS 245:2014/MS 1390:2010/BS EN 13280:2001), Chemical Tanks, Scrubber and other OEM Products , Films and Bags, Industrial and Construction","Brunei, Singapore"
Future Plastic Industries Sdn Bhd,236151-T,1992.0,KS Lim,Managing Director,KS Lim,Managing Director,"Lot 85 Permata 2/3, Arab-Malaysian Industrial Park, Nilai",71800.0,,Negeri Sembilan,Malaysia,606-799 2923,606-799 2823,my.ps@georgfischer.com,,Recycling,"Recycling Resin - Polyester, Recycling","India, Japan, Thailand, China, Indonesia, Vietnam, Taiwan"
Fulijaya Manufacturing Sdn Bhd,,1991.0,YBhg Dato' Kethnyzz Tan Soo Nam,Group Managing Director,YBhg Dato' Kethnyzz Tan Soo Nam,Group Managing Director,"30, Lorong Makmur 13/1, Taman Makmur Industrial Estate, Kulim",9000.0,,Kedah,Malaysia,604-484 4443,604-484 4882,meowsiang_khor@gf-technology.com,www.fulijaya.com,"Injection Moulding, Blowing and Vacuum Forming","Full Ranges of Oral Care Products; Toothbrush, Toothpaste, Mouthwash, Dental Flossing, Razor for Man and Woman, Injection, Blow Mould and Vacuum Forming Tray for Engineering and Automobile use, Bathroom/Toilet, Foam","Singapore, Thailand, Cambodia, Bangladesh, Indonesia, Saudi Arabia, India, South Africa, Philippines, Middle East, United States"
Fu Hao Manufacturing (M) Sdn Bhd,265661-A,1993.0,,,Gary Teh,General Manager,"Plot 562, Mukim 1, Jalan Perusahaan Baru 1, Perai III, Perai Industrial Estate",13600.0,Prai,Pulau Pinang,Malaysia,604-398 0500,604-398 3221,info@gladesguppy.com,www.lcthcorp.com,"Injection Moulding, Tools Fabrication","Houseware Products, Printer, Telecommunication, Medical and Consumer Product, Houseware, Medical, Telecommunication",
Fuji Roto Gravure Sdn Bhd,362962 - H,1996.0,Teo Kee Tiong,Managing Director,Susie Ngu/Aylwin Yap,Acc & Adm Manager/Sales Manager,"PLO 158 Jalan Angkasa MAS 6, Kawasan Perindustrian Tebrau 2",81100.0,Johor Bahru,Johor,Malaysia,07-351 9111,07-351 6900,globalfarmersolutions@gmail.com,,,Equipment Supplier,"Singapore, Sri Lanka, Indonesia"
Fu Fong Plastic Industries Sdn Bhd,692293-H,2005.0,Lim Cheh Chuen,Director,Asttrid Lim Yen Peng,Finance & HR Senior Manager,"12 & 14 Jalan Sungai Batu 8/KU6, Off Jalan Sungai Puloh, Kawasan Perindustrian Klang Utama, 42100 Klang, Selangor, Malaysia.",42100.0,Klang,Selangor,Malaysia,603-3290 1315,603-3290 3166,kklim@jprivilege.com,www.fu-fong.com,Injection Moulding,"PP Plastic Disposable Food Containers & PS Biscuit Containers & PP Plastic Cutlery , Containers and Bottles, Cutleries","Europe, Jordan, UAE, Yemen, Doha, Pakistan, Australia, Madagascar, Saudi Arabia, Cyprus, Morocco"
Fragstar Corporation Sdn Bhd,241047 U,1992.0,Yew Poh Chong,Director,Yew Poh Chong,Director,"Lot 215, Mukim Semeling, Sungai Tok Pawang, Batu 1, Bedong",8100.0,,Kedah,Malaysia,604-4588 169,604-4580 693,gogreenplus619@gmail.com,www.fragstar.com,"Film Blowing/Film Extrusion, Lamination, Printing","HDPE T-Shirt Bag (Plain & Printed up to 6 Colors, Stretch Film (Blown), LLDPE Roll, LDPE Handle Bags, Die Cut Bags, Films and Bags","United Kingdom, Japan, Australia, New Zealand, Italy, France, Netherlands, Singapore, Estonia, Ireland, Papua New Guinea, Indonesia"
Form Rite (Malaysia) Sdn Bhd,199401002032 (287710-D),1994.0,Eugene Goh Giap Ping,Managing Director,,,"1036, Jalan Makmur 4/7, Taman Industrial Makmur, Lunas",9600.0,,Kedah,Malaysia,604-484 3737,604-484 7373,goldbellsb@gmail.com,,Thermoforming,"Vacuum Form Tray, Blister Pack, Clamshell , Containers and Bottles, Packaging",
Foraypack Industry Sdn Bhd,687297-A,2005.0,Loh Kim Wai,Managing Director,Chang Sor Fah/Lee Swee Hua,Marketing Director/Finance Manager,"7 & 9, Jalan Melati Sek BB11, Bandar Bukit Beruntung, Rawang",48300.0,,Selangor,Malaysia,603-6028 3128/6028 3126,603-6028 2993,gmine33@yahoo.com,www.foray.com.my,"Lamination, Gravure Printing, Slitting, Pouch Making","PA Films, PE Flims, PET Films, PP Film, Polywrap Packaging Materials (All Foil and Non-Foil Lamination Materials), Films and Bags","Singapore, Thailand, Indonesia, Vietnam"
Fook Huat Plastic Industries (M) Sdn Bhd,49933-W,1979.0,Molly Wong,Managing Director,Molly Wong/Wong Huey Ling,Managing Director/Executive Director,"Lot 94-B & 95-B Jalan Usaha 12, Air Keroh Industrial Estate",75450.0,,Melaka,Malaysia,"6606-2322 709,6012-681 7668,6012-607 3867",606-232 8669,goldenbalance@yahoo.com,,"Film Blowing/Film Extrusion, Printing, Bag Making","PP, HDPE, LDPE Liners of all applications up to 8 colours : Industrial-Use Liners, Auto-Pack Sheet-In-Roll, Sideseal Bakery Bags, PP Sideseal with Header, PP Mailing Envelope Bags, Mushroom Bags, Garbage Bags, Shopping Carrier Bags, Films and Bags",Singapore
Scientex Packaging Film Sdn Bhd,255035-P,1993.0,Lim Peng Jin,CEO/MD,CH Bee,Senior General Manager,"Lot 4, Jalan Sungai Pinang 4/3, Section 4, Taman Perindustrian Pulau Indah, Pelabuhan Klang",42920.0,,Selangor,Malaysia,603-3161 3000,603-3101 1522,goldenmile9180@gmail.com,www.scientex.com.my,Film Casting,"Stretch Film , Foam, Industrial and Construction, Films and Bags, Textile, Apparel and Bags",
Foam Polystyrene Enterprise Sdn Bhd,106637-D,1983.0,Irene FH Wong,,Allan Yap,Managing Director,"Lot 6105, Jalan Haji Salleh, Off Jalan Meru, Klang",41050.0,,Selangor,Malaysia,603-3392 8833,603-3392 8200,info@goldenpet.com.my,www.megafoam.com,"Foam Moulding, Thermoforming, Sheet Extrusion, Printing","Safety Helmets, PS Foam for Packaging, PS Foam for Insulation, PS Foam for Moulded Parts, Packaging for Food, Disposable Cups, Containers, Bowls, Lids &Trays, Foam, Industrial and Construction",
Focus Chemical Sdn Bhd,757960-U,2006.0,Steve Lim Cheng Han,Director,Raymond Kolandai,General Manager,"Right Wing, Level 4 Block G, I2U Building, Sains@usm, No. 10, Persiaran Bukit Jambul",11900.0,Bayan Lepas,Pulau Pinang,Malaysia,604-646 3306,604-646 0021,sale@goldolphin.com.my,focuspigment.com.my/,,,"South East Asia, Middle East, Africa, India"
Scientex Great Wall (Klang) Sdn Bhd,197601002076 (28053-D),1976.0,Lim Peng Jin,CEO/MD,Lynus Ng,Sales General Manager,"Lot 3349, & 3351, Jalan Merbau, Off Jalan Klang Perdana, Batu 7 ½, Jalan Kapar, Kapar",42200.0,,Selangor,Malaysia,603-3291 6333,603-3291 6368/6381,alfred.gouden@gmail.com,www.scientex.com.my/,"Blown Extrusion , Bag converting","Printed & Non-Printed LDPE Shrink Film, PE Stretch Hood & Shrink Hood, Blown Stretch Film, PE Flexitank Film, Agriculture Sheet & PE Tubing , Agricultural, Films and Bags, Packaging","Australia, Bangladesh, Belgium, Brunei, China, Fiji, Hong Kong, India, Indonesia, Japan, New Zealand, Papua New Guinea, Philippines, Russia, Singapore, Sri Lanka, Taiwan, Thailand, Ukraine, United Kingdom, United States, Vietnam, Pakistan"
Schaefer Waste Technology Sdn Bhd,437904-H,1997.0,Ronni Poulsen,"Senior Vice President, Regional head APAC & MEA",Wilson Koh,"Director of Waste Management, APAC & MEA","Plo 25, Jalan SR/3, Kawasan Perindustrian Simpang Renggam, Simpang Renggam",86200.0,,Johor,Malaysia,607-755 7451,607-755 7184,gantspac@gmail.com,www.ssi-schaefer-asia.com,Injection Moulding,"Wheely Bins, Industrial Containers, Waste Bin , Industrial and Construction","Asia Pacific, Middle East"
Scientex Packaging (Ayer Keroh) Bhd,12994-W,1972.0,James Chang Chee Siong,Managing Director,James Chang Chee Siong,Managing Director,"Lot 3 & 7 Air Keroh Industrial Estate, Phase IV, Melaka",75450.0,,Melaka,Malaysia,606-231 9779,606-232 8988,augustine@gracebashan.com,www.scientexpackaging.com.my/,"Lamination, Printing, Metalisation, Standing Pouch, Retort Packaging","Laminate Films, Flexible Packaging , Films and Bags","Thailand, Philippines, Singapore, Indonesia, Australia, Cambodia, Papau New Guinea, Mauritius, New Zealand"
Scientex Great Wall (Ipoh) Sdn Bhd,16357-P,1973.0,Choo Seng Hong,Executive Director,Johnny Chew,"Sales, General Manager","1, Jalan Kuala Kangsar, Sungai Siput (U)",31100.0,,Perak,Malaysia,605-2011 661,605-2012 993,tsteo@greatcosmo.com,www.scientex.com.my,"Blown Film Extrusion , Flexo-Graphic Printing, Bag Making","For Consumer Division: Wicketed Side Weld Bag, Printed PE Rewinds, Label Film, Flat Films, Hygiene Bags. For Industrial Division: FFS Sack, Block Sack, Preformed Gusseted Sack, Valve Sack, Stretch Hood, Shrink Hood & Agricultural Film , Agricultural, Films and Bags","Australia, China, Hong Kong, India, Indonesia, Japan, Saudi Arabia, Taiwan"
Scientex Great Wall Sdn Bhd,200501033332 (10450-H),1971.0,PJ Lim,CEO/MD,CM Yong,General Manager,"Lot 1608, Rawang Integrated Industrial Park, Jalan Rawang Batang Berjuntai, Rawang",48000.0,,Selangor,Malaysia,603-6092 3333,603-6092 8833/2323,toms_lye@yahoo.com,www.scientex.com.my,"Film Blowing/Film Extrusion, Film Casting , Lamination, Printing, Wicketting, Bag Making","Shrinkable Films, Lamination Base Films, Printed Films, Wicketted Bags, Form Fill Seal Films (FFS Film), 5 and 9 Layers Co-extrusion Barrier Film, Laminated Sheets and Bags, Metallized BOPP, Metallized CPP , Films and Bags, Industrial and Construction","Japan, Australia, Singapore, Indonesia, Hong Kong, Taiwan, Philippines, Thailand, Vietnam, Denmark, New Zealand, United Kingdom, Mexico, Africa"
Scanwolf Plastic Industries Sdn Bhd,275397-M,1985.0,Dato' Loo Bin Keong,Executive Director,Ow Kok Chee,Executive Director,"Lot Pt 404, Jalan Bota, Mukim Belanja, Tronoh",31750.0,,Perak,Malaysia,"605-3677866,603-6275 2950/2953",605-3677852,accouny@gewood.my,www.scanwolf.com,"Compounds, Foam Moulding, Co-Extrusion","PVC Edging, PVC Jointing, PVC Foam Profiles, ABS Profiles and Edging, Wall Seal Systems, PVC Extruded Building Materials , Electrical and Electronics, Foam, Furniture","Australia, Bangladesh, Thailand, Indonesia, Vietnam, Philippines, United Arab Emirates, India, Singapore, Sri Lanka, Qatar, Bhutan, Yemen, Kenya, Mauritius, Uganda, Iran"
Satellite Plastic Co,IP 0015867M,,Kong Kin Yuen,Manager,Kong Kin Yuen,Manager,"47, 47Lengkok Lahat, Falim",30200.0,Ipoh,Perak,Malaysia,605-282 1016,605-282 1435,cktan@greenhighland.com.my,,"Injection Moulding , Silk Printing","OEM Manufacturing (Injection Moulding) , OEM Manufacturing",
Saplastic Industries Sdn Bhd,065496-T,1976.0,Wilford SC Teo,Executive Director,Teo Swee Aik,Director,"Lot 723, & 1487, Dean Laut Industrial Park Phase III, Jalan Bako, P.O.Box 1547, Kuching",93050.0,,Sarawak,Malaysia,082-486 123,082-433 125,gpi@greenlandplas.com,,"Film Blowing/Film Extrusion , Lamination, Printing, Bag Making, Slitting","Full Colour Printed Multi Layer Pouches and Rolls, Bags and Sacks for General and Food Packaging, Rice Bag, Ice Bag, Shrink Film, Stretch Films, Insulation Films, Agriculture Bags and Films, Shopping Bags, Scraps , Films and Bags","Indonesia, Brunei"
Sansico Industries Sdn Bhd,448766-D,1997.0,Hijjas Sow,Managing Director,Hijjas Sow,Managing Director,"20, Jalan Uranus AK U5/AK, Taman Subang Impian, Seksyen U5",40150.0,Shah Alam,Selangor,Malaysia,603-7859 7299,603-7859 0299,info@gt-max.com.my,www.sansico.com.my,Injection Moulding,Pipe Fitting & Floor Trap,"Indonesia, Thailand"
Sannanda Rika Sdn Bhd,613507-A,2003.0,,,,,"Lot 5310, Jalan Keretapi Lama, Batu 15, Sungai Janggut, Jeram",45800.0,,Selangor,Malaysia,603-3250 0877,603-3250 0877,,www.srsbgroup.com/,,"Recycled Plastic Resin - LDPE, LLDPE","India, China"
Santomas Sdn Bhd,200555-H,1990.0,Chua Ah Lay,Managing Director,Goh Chyan Jye,Managing Director,"Lot 15, Kawasan Miel, Kulim Industrial Estate, Kulim",9000.0,,Kedah,Malaysia,604-489 2076,604-489 1758,ghplas@gmail.com,www.santomas.com.my,"Injection Moulding , Tapping, Painting, Hot Stamping, Assembly","Precision Plastics Gear up to JGMA 2 or AGMA 12 Quality Grade, Precision Engineering Plastic Part for Audio and Video, OA Equipment, Camera and Automotive Mechanism, Assembly for all Industries Product , Mechanical","Japan, Singapore, Germany"
Sanled Sdn Bhd,265934-D,1993.0,Hui Shing Leong,Managing Director,Lim Siew Choo,Admin & Finance Manager,"2581, Lorong Perusahaan 6A, Kawasan Perindustrian Perai, Perai",13600.0,,Pulau Pinang,Malaysia,604-383 1941,,rohani@guppyplasticpg.com,,"Injection Moulding , Spray-painting, Silkscreen-painting, Tool Making","Letter Tray, File Rack, Name Card Holder, Memo Pad Holder, Small Diskette Holder, Paper Clips, Multimedia Keyboard, Speakers, Diskettes, CE-R, Bubble Jet Refill Ink, Dummy Mobile Phones , Electrical and Electronics, Stationery, Telecommunication",
San Miguel Yamamura Woven Products Sdn Bhd,182297-H,1989.0,Tan Teck Soon,General Manager,Alvin Phua,Marketing Manager,"Lots 9 & 10, Ayer Keroh Industrial Estate",75450.0,,Melaka,Malaysia,606-232 3898/9,606-232 9916,sales@guppyplastic.com.my,www.sanmiguelwoven.com,"Yarn Extrusion , Lamination, Flexo Printing, Bag Making, Weaving","Woven Bags, Laminate Film, Yarn, Fabrics, Reflective Insulation, Vapour Corrosion Inhibitor Laminate, Breathable Building Ware, Container Liner , Films and Bags, Textile, Apparel and Bags Products","Australia, Christmas Island, Singapore, Vietnam, United States, South Africa, Thailand, Indonesia, China, Philippines"
San Miguel Yamamura Plastics Films Sdn Bhd,,1978.0,Tang Han Lock,General Manager,Ben Lim Guan Seng,Marketing Manager,"172, Jalan Usaha 5, Lots, 83-85, 75 & 76, Ayer Keroh Industrial Estate",75450.0,,Melaka,Malaysia,606-232 2177/8/9,606-232 2523,yuzhan93@gmail.com,www.gpf.com.my,"Film Casting , Vacuum Metalising","BOPP Films, CPP Films, Metallised BOPP Films, Metallised CPP Films, Metallised PET Films , Films and Bags",
Samchoon Plastic Products,,1979.0,,,Pek Meng Hua,,"5B, Jalan Parit Haji Noor, 3 ½ Miles Off Jalan Kluang, Batu Pahat",83000.0,,Johor,Malaysia,607-433 4201,607-432 7435,,,Yarn Extrusion,Rafia String,
Samudra Packaging Industries Sdn Bhd,900043-H,2010.0,Wee Sang Hong,Managing Director,Wee Sang Hong,Managing Director,"9 & 11, Jalan Jasa Merdeka 6, Taman Datuk Tamby Chik Karim, Batu Berendam",75350.0,,Melaka,Malaysia,606-3173222,606-3171422,hon_dar1@streamyx.com,,Film Blowing/Film Extrusion,"Film Blowing, Bags and Sacks for Packaging in General, Laundry Bags, Ziplock Bags, Shopping Bags, Self-adhesive Bags, Garment Bags, Shrinkable Films, Photo Album Pockets, Garment and Apparel Bag, HDPE Garbage Bag, HDPE T-Shirt Bag, LDPE Antistatic and Ultra Bag, Auto Packing Film, Construction Film, Agriculture Film, Food Packaging and Electronics Bag, Oxo-Biodegradable HDPE Bag , Films and Bags",Singapore
SA General Plastics Trading Sdn Bhd,,,Wong Hai Siang,Managing Director,Wong Hai Siang,Managing Director,"Lot 68, Jalan Sg Ma'aw, Sg Bidut, P.O.Box 1599 Sibu",96008.0,Sibu,Sarawak,Malaysia,6084-311 011,6084-313 881,hatock@ha-pack.com,,Film Blowing/Film Extrusion,Bags,
Saiyakaya (M) Sdn Bhd,302637-K,1994.0,Meryrick Lu,CEO,Meryrick Lu,CEO,"168, Jalan Industri 3/6, Rawang Integrated Industrial Park, Rawang",48000.0,,Selangor,Malaysia,603-6092 1662,603-6092 1660,,www.surfaceprotector.com,"Blowing and Vacuum Forming , Lamination, Coating, Converter","Surface Protection Films/Tapes, PE Protection Films, Stretch Films, Flexible Packaging , Films and Bags","Indonesia, Thailand, Singapore, Philippines, Vietnam, China, United States, Saudi, India, Australia, United Kingdom"
SABIC Asia Pacific Pte Ltd,199106011H,1991.0,Ahmad Al-Umar,General Manager,Jefh Lee,Business Development Manager,"One Temasek Avenue, # 06 - 01, Millenia Tower",3919.0,Singapore,Singapore,Singapore,012-7989002/65-6557 2555,603-2274 6198/65-6531 8101,hailuckplastic@gmail.com,www.sabic.com,Singapore,Resins,"China, Japan, Taiwan Singapore, Malaysia, Indonesia, Vietnam, Philipines, Myanmar, Australia, New Zealand, Cambodia, India Subcontinent"
Sakata Inx (Malaysia) Sdn Bhd,253351-P,1992.0,Yasushi Sato,Managing Director,Jimmy Ang Kok Leong,General Manager,"Lot 65, Jalan Teluk Gadung 27/93, Section 27",40000.0,Shah Alam,Selangor,Malaysia,603-5191 8878,603-5191 8870,t_osaki@harmo-net.com,www.inx.co.jp,,Ink,
S-Way Resources Sdn Bhd,845169-M,2001.0,Johnson Tan,MD,Johnson Tan,MD,"188 & 189, Jalan Pinang 1, Taman Kota Kulai, Kulai",81000.0,,Johor,Malaysia,1700 818 313,1700 810 169,enquiry@hdplastic.com.my,www.s-way573.com,Recycling,"Recycled Resin - Cilieon Rubber, PVC, Mix Plastic, Nylon, PP, PE, PS, ABS","China, Thailand, Cambodia, Vietnam"
Rui Sin Plastic Industries Sdn Bhd,,2003.0,Teo Kae Shyong,Director,,,"3, Jalan Perdagangan 16, Taman Universiti Industrial Park, Skudai",81300.0,,Johor,Malaysia,607-521 7660,607-521 5662,hr@heeplastic.com,,"Blow Moulding, Injection Moulding","Saddle, Adaptor, Alarm, L Clip, Bracket, U Plug, Cooking Oil Cap, Handle, PET Bottle, Jerry Can Cap, Inner Plug Gasket, Cover, Base, Drum Plug, BIB Cap, Air Vent Tap, 2kg Cap, 5kg Cap , Containers and Bottles, Electrical and Electronics, Furniture, Houseware, Stationery, Packaging",
RS Poly Industry Sdn Bhd,719750-P,2001.0,Lee Siew Ling,Director,Lee Siew Ling,Director,"No.1, Jalan Wawasan 2C/KU7, Sungai Kapar Indah",42200.0,Klang,Selangor,Malaysia,03-3290 5818,03-3292 8128,kachua@helistrom.com,www.rspoly.com.my,"Sorting, Washing, Pelletising","Recycle Raw Material : LDPE, LLDPE, HDPE, Pellets, PET Flakes , Recycled Resin","India, China"
Rosti IMS Sdn Bhd,982244-T,2012.0,Borindan Colgan,Group CEO,Miller Brown,Managing Director,"177, Jalan Murni 9, Taman Perindustrian Murni Senai",81400.0,Senai,Johor,Malaysia,019-723 2151,,kcseah@pc.jaing.my,www.rosti.com,Injection Moulding,"Automotive Parts, Caps and Closures, Business Machine , Electrical and Electronics, Transportation, Packaging","United States, Europe"
Rong Hua Shoe Industries Sdn Bhd,174328-H,1988.0,Ching Sim Hua,Director,,,"Lot 52535, Regrouping Area, Menglembu",31450.0,,Perak,Malaysia,605-281 3844,605-281 1268,vince.wee@heubach.com,www.veno.com.my,"Compression Moulding, Foam Moulding, Lamination, Silkscreen-painting","Footwear, EVA Foaming Products , Foam, Footwear, Packaging",
Robomation Equipment Sdn Bhd,201601008369,2016.0,Jeff Khoo,Director,Jeff Khoo,Director,"No. 13A, Jalan Kenari 17D, Bandar Puchong Jaya",47170.0,Puchong,Selangor,Malaysia,603-8075 0833/1733;6012-231 8790,603-8080 0666,hplast@heveaplast.com.my,robomation.my/,,Machinery and Auxiliary Equipment Sales & Service,"Singapore, Vietnam, Indonesia, Thailand"
Rieckermann (Malaysia) Sdn Bhd,20869-U,1974.0,Tim Groth,Managing Director,Toon Kong Yu,Sales Manager,"B2-9-01 & B2-9-02, Block B2, Meritus@Oasis Corporate Park, No. 2, , Jalan PJU 1A/2, Ara Damansara",47301.0,Petaling Jaya,Selangor,Malaysia,603-7660 9239,603-7660 9237,yapbw@hotmail.com,www.rieckermann.com,,"Machinery Supplier, Equipment Supplier i4.0 Solution Providers",
